,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_399,0.00129249,3459.747249,62707656.71,379579076.9,,,,,
Run_400,0.00129249,3459.747249,62707656.71,379579076.9,,,,,
Run_401,0.001928448,3718.945918,862599532,3582885815,,,,,
Run_402,0.002018777,3761.331592,2814138062,11738324438,,,,,
Run_403,0.001925784,3718.134243,862598746,3582882899,,,,,
Run_404,0.001928269,3718.892801,862599503.7,3582885722,,,,,
Run_405,0.001928692,3719.081332,868691797.9,3581910547,,,,,
Run_406,838534.6946,4891.613787,1603.386986,17909.99992,,,,,
Run_407,0.002619448,3949.696098,2103386268,7212005861,,,,,
Run_408,0.001928448,3718.945918,862599532,3582885815,,,,,
